Catarrhini	6	89859750	91818665	1	Hedgehog	s858	scaffold00383
Catarrhini	6	104701787	105384291	1	Goat	4	chr4
Catarrhini	6	51013224	60760374	-1	Guinea pig	s796	scaffold_44
Catarrhini	6	137181522	142668595	-1	Pika	s913	scaffold00101
Catarrhini	6	103398957	104701787	-1	Goat	4	chr4
Catarrhini	6	72040922	91148328	-1	Pika	s906	scaffold00013
Catarrhini	6	0	11388111	1	Orangutan	7	chr7
Catarrhini	6	94842542	95048942	-1	Goat	4	chr4
Catarrhini	6	12579561	12982525	-1	Guinea pig	s787	scaffold_234
Catarrhini	6	6088446	8031649	1	Mouse	5	chr5
Catarrhini	6	30394336	38679565	1	Opossum	6	chr6
Catarrhini	6	95048942	103398957	1	Goat	4	chr4
Catarrhini	6	30324425	30394336	1	Horse	4	chr4
Catarrhini	6	87646085	106836763	-1	Guinea pig	s799	scaffold_31
Catarrhini	6	5771499	6088446	1	Chimpanzee	7	chr7
Catarrhini	6	141522003	148073957	1	Elephant	s895	scaffold_12
Catarrhini	6	5983696	20500993	-1	Cow	25	chr25
Catarrhini	6	59803325	62760809	1	Mouse	12	chr12
Catarrhini	6	51180677	88118911	1	Marmoset	8	chr8
Catarrhini	6	5340546	6088446	1	Goat	25	chr25
Catarrhini	6	84027605	86647321	-1	Cow	4	chr4
Catarrhini	6	150305182	154185554	1	Shrew	s938	scaffold00155
Catarrhini	6	126063940	130194815	-1	Guinea pig	s801	scaffold_44
Catarrhini	6	50888398	59803325	-1	Mouse	6	chr6
Catarrhini	6	85769917	87405068	1	Hedgehog	s855	scaffold00562
Catarrhini	6	38679565	39647573	-1	Opossum	1	chr1
Catarrhini	6	71627785	72541781	1	Hedgehog	s846	scaffold00765
Catarrhini	6	5535299	5771499	-1	Pig	3	chr3
Catarrhini	6	83670965	85769917	-1	Hedgehog	s854	scaffold00461
Catarrhini	6	30394336	39647573	1	Pika	s904	scaffold00013
Catarrhini	6	9496209	14792973	1	Rat	12	chr12
Catarrhini	6	33618684	33946810	-1	Cow	4	chr4
Catarrhini	6	70353234	80612637	-1	Mouse	6	chr6
Catarrhini	6	9554934	12151947	-1	Shrew	s920	scaffold00170
Catarrhini	6	39647573	47498723	-1	Rat	17	chr17
Catarrhini	6	5340546	5793012	1	Hedgehog	s816	scaffold00260
Catarrhini	6	110953297	113989217	1	Hedgehog	s867	scaffold00268
Catarrhini	6	12151947	12982525	1	Shrew	s921	scaffold00218
Catarrhini	6	104380807	124078606	1	Pika	s910	scaffold00053
Catarrhini	6	0	5340546	1	Tenrec	s804	scaffold00022
Catarrhini	6	8233741	8903527	1	Rat	12	chr12
Catarrhini	6	0	2150382	-1	Guinea pig	s782	scaffold_30
Catarrhini	6	131727916	134633699	1	Hedgehog	s873	scaffold00421
Catarrhini	6	38986238	39647573	1	Shrew	s929	scaffold00083
Catarrhini	6	139678953	143841942	-1	Hedgehog	s876	scaffold00263
Catarrhini	6	30394336	35005326	-1	Shrew	s926	scaffold00093
Catarrhini	6	103142182	104868311	-1	Pig	18	chr18
Catarrhini	6	118829348	121191541	1	Hedgehog	s869	scaffold00545
Catarrhini	6	76556530	97439005	-1	Chimpanzee	7	chr7
Catarrhini	6	49542247	50284884	-1	Hedgehog	s834	scaffold00502
Catarrhini	6	29718892	30394336	-1	Tenrec	s808	scaffold00031
Catarrhini	6	10729471	11388111	1	Rabbit	6	chr6
Catarrhini	6	49272675	111101298	-1	Tenrec	s811	scaffold00013
Catarrhini	6	10729471	11388111	-1	Gorilla	7	chr7
Catarrhini	6	0	4692580	1	Rhesus macaque	3	chr3
Catarrhini	6	124078606	128067196	1	Pika	s911	scaffold00111
Catarrhini	6	39647573	124463674	1	Elephant	s891	scaffold_5
Catarrhini	6	17401486	17727933	-1	Pig	3	chr3
Catarrhini	6	29718892	30394336	-1	Shrew	s925	scaffold00004
Catarrhini	6	119565820	150305182	-1	Shrew	s937	scaffold00032
Catarrhini	6	88118911	88421231	-1	Marmoset	8	chr8
Catarrhini	6	0	5340546	-1	Shrew	s917	scaffold00105
Catarrhini	6	5340546	5885510	-1	Elephant	s881	scaffold_45
Catarrhini	6	17727933	30345018	1	Rabbit	10	chr10
Catarrhini	6	30314834	30394336	1	Dog	18	chr18
Catarrhini	6	8147624	17401486	1	Pika	s902	scaffold00026
Catarrhini	6	30345018	30394336	-1	Rabbit	10	chr10
Catarrhini	6	30394336	39647573	1	Tenrec	s809	scaffold00031
Catarrhini	6	107011567	127476276	-1	Rabbit	7	chr7
Catarrhini	6	91148328	99888966	1	Pika	s907	scaffold00048
