Euarch	6	55722136	57184855	1	Hedgehog	s1095	scaffold00854
Euarch	6	13743623	52073697	-1	Cow	10	chr10
Euarch	6	142211583	142698327	-1	Orangutan	15	chr15
Euarch	6	131300901	135843583	-1	Human	15	chr15
Euarch	6	45377253	57234063	-1	Shrew	s1182	scaffold00004
Euarch	6	89822913	90722304	1	Chicken	5	chr5
Euarch	6	83444499	101587556	1	Rat	3	chr3
Euarch	6	114228086	115398341	-1	Guinea pig	s1045	scaffold_0
Euarch	6	126284090	130038171	-1	Chicken	10	chr10
Euarch	6	45806265	63618061	-1	Rabbit	s1173	chr17
Euarch	6	75800491	76393996	-1	Rhesus macaque	5	chr5
Euarch	6	125598884	128766134	1	Pig	7	chr7
Euarch	6	145009234	146819677	-1	Cow	21	chr21
Euarch	6	95307283	106806966	1	Guinea pig	s1040	scaffold_23
Euarch	6	9575916	10205133	1	Guinea pig	s1031	scaffold_129
Euarch	6	67358894	69176867	-1	Hedgehog	s1102	scaffold00463
Euarch	6	131605077	142211583	-1	Tenrec	s1064	scaffold00042
Euarch	6	131605815	145437418	1	Chicken	10	chr10
Euarch	6	105107101	118933361	1	Elephant	s1144	scaffold_59
Euarch	6	124174139	125598884	-1	Guinea pig	s1050	scaffold_98
Euarch	6	91361896	91814765	1	Hedgehog	s1109	scaffold01048
Euarch	6	118139831	120482998	-1	Hedgehog	s1124	scaffold00763
Euarch	6	130622981	145009234	-1	Cow	21	chr21
Euarch	6	0	31251644	-1	Chicken	5	chr5
Euarch	6	40263651	50518974	1	Chicken	5	chr5
Euarch	6	125748134	127869230	1	Cow	21	chr21
Euarch	6	63499539	65667881	-1	Pig	1	chr1
Euarch	6	63986023	66238480	1	Opossum	1	chr1
Euarch	6	142211583	142698327	-1	Hedgehog	s1132	scaffold00001
Euarch	6	75800491	83444499	1	Hedgehog	s1105	scaffold00027
Euarch	6	119682984	123011792	1	Guinea pig	s1048	scaffold_5
Euarch	6	130558899	147742852	1	Opossum	1	chr1
Euarch	6	57234063	73533747	-1	Shrew	s1183	scaffold00053
Euarch	6	31251644	39932348	1	Chicken	5	chr5
Euarch	6	116948536	119682984	1	Guinea pig	s1047	scaffold_0
Euarch	6	130038171	130558899	-1	Orangutan	15	chr15
Euarch	6	142698327	147742852	1	Hedgehog	s1133	scaffold00001
Euarch	6	42761011	47407213	-1	Hedgehog	s1088	scaffold00101
Euarch	6	126822022	131605077	1	Tenrec	s1063	scaffold00031
Euarch	6	0	83444499	-1	Chimpanzee	14	chr14
Euarch	6	152098420	152383573	1	Dog	3	chr3
Euarch	6	115163091	121074488	1	Chicken	10	chr10
Euarch	6	69467610	79016129	1	Opossum	1	chr1
Euarch	6	122233548	122905258	-1	Opossum	1	chr1
Euarch	6	0	5666058	-1	Guinea pig	s1029	scaffold_111
Euarch	6	131300901	131605815	-1	Chicken	10	chr10
Euarch	6	85569765	128766134	1	Human	15	chr15
Euarch	6	66238480	67834460	-1	Opossum	1	chr1
Euarch	6	79016129	83444499	-1	Mouse	14	chr14
Euarch	6	67834460	69467610	-1	Opossum	1	chr1
Euarch	6	92891309	93193932	-1	Hedgehog	s1113	scaffold00943
Euarch	6	131300901	142211583	1	Hedgehog	s1131	scaffold00001
Euarch	6	101587556	102215828	1	Chicken	10	chr10
Euarch	6	123866218	124174139	1	Rhesus macaque	16	chr16
Euarch	6	130185248	135798472	-1	Goat	21	chr21
Euarch	6	125598884	126822022	-1	Mouse	9	chr9
Euarch	6	142698327	145437418	-1	Goat	21	chr21
Euarch	6	85569765	128766134	1	Orangutan	15	chr15
Euarch	6	94290768	95503412	-1	Hedgehog	s1115	scaffold00700
Euarch	6	95307283	96345541	-1	Chicken	10	chr10
Euarch	6	62719138	63019242	1	Rat	6	chr6
Euarch	6	148434700	152383573	-1	Chicken	1	chr1
Euarch	6	85569765	128766134	1	Chimpanzee	15	chr15
Euarch	6	2459552	9575916	1	Elephant	s1137	scaffold_9
Euarch	6	142602006	142698327	-1	Pig	1	chr1
Euarch	6	62988574	63455706	1	Cow	21	chr21
Euarch	6	63986023	119126956	-1	Rabbit	s1175	chr17
Euarch	6	96161821	105924240	1	Opossum	1	chr1
Euarch	6	130527549	130558899	-1	Elephant	s1149	scaffold_28
Euarch	6	57184855	57824604	1	Hedgehog	s1096	scaffold01129
Euarch	6	62188884	62719138	1	Hedgehog	s1099	scaffold00515
Euarch	6	50518974	62188884	-1	Chicken	5	chr5
Euarch	6	85569765	113189785	1	Rhesus macaque	7	chr7
Euarch	6	0	2459552	-1	Elephant	s1136	scaffold_9
Euarch	6	122503346	125598884	-1	Pig	7	chr7
Euarch	6	83444499	85569765	-1	Human	15	chr15
Euarch	6	30318892	45377253	1	Shrew	s1181	scaffold00055
Euarch	6	29464948	31627520	1	Hedgehog	s1080	scaffold00156
Euarch	6	83444499	85569765	-1	Orangutan	15	chr15
Euarch	6	65667881	85036507	1	Pig	7	chr7
Euarch	6	79016129	83444499	-1	Opossum	1	chr1
Euarch	6	145437418	146819677	-1	Goat	21	chr21
Euarch	6	71847699	79016129	-1	Guinea pig	s1037	scaffold_77
Euarch	6	90722304	93908632	1	Chicken	5	chr5
Euarch	6	122033114	124174139	1	Chicken	10	chr10
Euarch	6	54306946	55722136	-1	Hedgehog	s1094	scaffold00882
Euarch	6	124570627	124637686	1	Chicken	10	chr10
Euarch	6	81687950	83444499	1	Elephant	s1140	scaffold_118
Euarch	6	0	13761051	-1	Goat	21	chr21
Euarch	6	145194604	148711307	1	Elephant	s1151	scaffold_93
Euarch	6	52521147	52929107	1	Mouse	14	chr14
Euarch	6	106908906	112695130	1	Shrew	s1188	scaffold00007
Euarch	6	10205133	10851753	1	Hedgehog	s1072	scaffold00416
Euarch	6	16842800	23648234	-1	Hedgehog	s1075	scaffold00100
Euarch	6	148434700	151672481	1	Guinea pig	s1053	scaffold_151
Euarch	6	142698327	145437418	1	Orangutan	15	chr15
Euarch	6	52521147	59586826	-1	Cow	10	chr10
Euarch	6	144560756	152383573	-1	Rabbit	s1177	chr17
