Primate	24	6730806	7924986	1	Hedgehog	s2532	scaffold00170
Primate	24	1644211	4228727	1	Guinea pig	s2509	scaffold_160
Primate	24	28261489	29072818	1	Hedgehog	s2545	scaffold00938
Primate	24	15155307	17746698	-1	Mouse	8	chr8
Primate	24	19148360	23977764	-1	Opossum	3	chr3
Primate	24	18484512	22764874	1	Rat	14	chr14
Primate	24	29072818	29384361	1	Guinea pig	s2517	scaffold_4
Primate	24	27535195	27939236	-1	Cow	17	chr17
Primate	24	18239582	25852051	-1	Shrew	s2570	scaffold00084
Primate	24	30868357	32053174	-1	Mouse	6	chr6
Primate	24	25852051	29072818	-1	Opossum	3	chr3
Primate	24	0	16158289	-1	Marmoset	1	chr1
Primate	24	4720517	5219164	1	Goat	5	chr5
Primate	24	27638610	29384361	1	Pig	14	chr14
Primate	24	0	29072818	-1	Gorilla	22	chr22
Primate	24	30977703	32053174	-1	Hedgehog	s2549	scaffold00132
Primate	24	15448924	18690204	-1	Elephant	s2555	scaffold_2
Primate	24	0	29072818	-1	Human	22	chr22
Primate	24	0	21019189	1	Rabbit	4	chr4
Primate	24	29072818	29384361	1	Human	22	chr22
Primate	24	922062	2113381	-1	Elephant	s2552	scaffold_151
Primate	24	1901117	4720517	-1	Goat	5	chr5
Primate	24	16158289	16850268	1	Hedgehog	s2537	scaffold00579
Primate	24	25852051	27167798	-1	Horse	8	chr8
Primate	24	862474	18259400	1	Pig	5	chr5
Primate	24	30110672	30977703	-1	Hedgehog	s2548	scaffold00687
Primate	24	20459107	22255366	1	Chicken	15	chr15
Primate	24	5310816	15506806	-1	Guinea pig	s2511	scaffold_28
Primate	24	25852051	26650611	1	Hedgehog	s2543	scaffold00678
Primate	24	0	18430796	-1	Horse	28	chr28
Primate	24	28075076	29384361	-1	Elephant	s2559	scaffold_70
Primate	24	0	1901117	-1	Goat	5	chr5
Primate	24	29384361	30887340	-1	Guinea pig	s2518	scaffold_4
Primate	24	17746698	18530691	-1	Mouse	10	chr10
Primate	24	15506806	17889750	-1	Guinea pig	s2512	scaffold_140
Primate	24	302289	922062	1	Elephant	s2551	scaffold_176
Primate	24	29384361	30374277	1	Opossum	3	chr3
Primate	24	29962702	30253414	1	Pig	14	chr14
Primate	24	18789016	25852051	-1	Cow	17	chr17
Primate	24	0	12053537	-1	Cow	5	chr5
Primate	24	29384361	32053174	-1	Chimpanzee	22	chr22
Primate	24	29384361	30867195	1	Dog	26	chr26
Primate	24	29072818	29384361	1	Orangutan	22	chr22
Primate	24	25852051	26264703	1	Pig	14	chr14
Primate	24	25852051	27933510	-1	Mouse	10	chr10
Primate	24	29814323	30469736	-1	Cow	17	chr17
Primate	24	30887340	32053174	-1	Guinea pig	s2519	scaffold_169
Primate	24	22255366	25852051	-1	Chicken	15	chr15
Primate	24	0	1726250	-1	Opossum	8	chr8
Primate	24	18430796	25852051	1	Horse	8	chr8
Primate	24	17889750	25140735	1	Guinea pig	s2513	scaffold_4
