Hominidae	20	13629013	13955403	-1	Rhesus macaque	14	chr14
Hominidae	20	13955403	74115921	1	Rhesus macaque	18	chr18
Hominidae	20	56717584	69129680	-1	Hedgehog	s1736	scaffold00010
Hominidae	20	43099978	45431126	-1	Dog	7	chr7
Hominidae	20	1616665	3842157	1	Pika	s1743	scaffold00137
Hominidae	20	34008981	36968129	-1	Hedgehog	s1730	scaffold00309
Hominidae	20	36968129	39661933	-1	Hedgehog	s1731	scaffold00387
Hominidae	20	26240237	29633288	-1	Opossum	3	chr3
Hominidae	20	62776546	74115921	-1	Mouse	18	chr18
Hominidae	20	0	74115921	1	Rabbit	9	chr9
Hominidae	20	56548998	74115921	1	Opossum	3	chr3
Hominidae	20	1148480	1616665	1	Pika	s1742	scaffold00011
Hominidae	20	39659568	46256936	1	Opossum	3	chr3
Hominidae	20	16269029	74115921	1	Horse	8	chr8
Hominidae	20	0	2088517	-1	Tenrec	s1717	scaffold00017
Hominidae	20	7583356	14083857	1	Elephant	s1739	scaffold_4
Hominidae	20	14620613	74115921	1	Gorilla	18	chr18
Hominidae	20	14083857	74115921	-1	Elephant	s1740	scaffold_4
Hominidae	20	0	1148480	1	Pika	s1741	scaffold00011
Hominidae	20	5927574	21471835	-1	Opossum	3	chr3
Hominidae	20	8906523	16269029	-1	Horse	8	chr8
Hominidae	20	0	7583356	-1	Elephant	s1738	scaffold_4
Hominidae	20	46256936	48998552	-1	Opossum	3	chr3
Hominidae	20	30801605	47731619	-1	Chicken	Z	chrZ
Hominidae	20	685980	2271007	-1	Marmoset	13	chr13
Hominidae	20	64359301	74115921	-1	Rat	18	chr18
Hominidae	20	21471835	26240237	-1	Opossum	3	chr3
Hominidae	20	2654281	7840183	-1	Shrew	s1749	scaffold00050
Hominidae	20	50220098	53849339	1	Mouse	18	chr18
Hominidae	20	60420237	74115921	-1	Cow	24	chr24
Hominidae	20	37820449	50220098	-1	Mouse	18	chr18
Hominidae	20	17470770	20127384	1	Hedgehog	s1726	scaffold00380
Hominidae	20	24751220	74115921	-1	Pika	s1746	scaffold00006
Hominidae	20	39423596	60420237	1	Cow	24	chr24
Hominidae	20	0	2157468	1	Horse	8	chr8
Hominidae	20	55897490	64359301	1	Rat	13	chr13
Hominidae	20	69416733	74115921	-1	Chicken	2	chr2
Hominidae	20	53849339	62776546	1	Mouse	1	chr1
Hominidae	20	48998552	53248243	-1	Opossum	3	chr3
Hominidae	20	51449689	74115921	-1	Pig	1	chr1
Hominidae	20	57311173	69560803	-1	Guinea pig	s1715	scaffold_57
Hominidae	20	0	74115921	1	Orangutan	18	chr18
Hominidae	20	0	992261	1	Dog	1	chr1
Hominidae	20	13972846	39959955	1	Rat	18	chr18
Hominidae	20	3842157	18800942	-1	Pika	s1744	scaffold00006
Hominidae	20	7840183	43739395	1	Shrew	s1750	scaffold00019
Hominidae	20	36073172	51449689	1	Pig	1	chr1
Hominidae	20	8040351	14228742	-1	Hedgehog	s1723	scaffold00110
Hominidae	20	69560803	74115921	-1	Guinea pig	s1716	scaffold_105
Hominidae	20	69886741	74115921	1	Tenrec	s1720	scaffold00111
Hominidae	20	3198867	11715562	1	Mouse	17	chr17
Hominidae	20	0	685980	1	Marmoset	13	chr13
Hominidae	20	47731619	51544811	-1	Chicken	2	chr2
Hominidae	20	39661933	47327735	-1	Hedgehog	s1732	scaffold00045
Hominidae	20	13967635	37820449	1	Mouse	18	chr18
Hominidae	20	40169000	60285433	1	Goat	24	chr24
Hominidae	20	0	5656771	-1	Opossum	3	chr3
Hominidae	20	463158	1627393	-1	Rat	18	chr18
Hominidae	20	4884503	5317882	1	Horse	8	chr8
Hominidae	20	2159336	3732083	-1	Rhesus macaque	18	chr18
Hominidae	20	2934043	13972846	1	Rat	9	chr9
Hominidae	20	690652	8040351	-1	Hedgehog	s1722	scaffold00067
Hominidae	20	0	690652	-1	Hedgehog	s1721	scaffold00419
Hominidae	20	0	1875643	-1	Mouse	18	chr18
Hominidae	20	14620613	17470770	1	Hedgehog	s1725	scaffold00364
Hominidae	20	0	2159336	1	Rhesus macaque	18	chr18
Hominidae	20	54535442	56717584	-1	Hedgehog	s1735	scaffold00413
Hominidae	20	53149400	54535442	1	Hedgehog	s1734	scaffold00585
Hominidae	20	0	463158	1	Rat	18	chr18
Hominidae	20	29633288	32525498	-1	Opossum	3	chr3
Hominidae	20	53227894	55897490	1	Rat	18	chr18
Hominidae	20	0	11577945	1	Guinea pig	s1713	scaffold_82
Hominidae	20	45431126	74115921	-1	Dog	1	chr1
Hominidae	20	11715562	13967635	-1	Mouse	17	chr17
Hominidae	20	2271007	74115921	1	Marmoset	13	chr13
Hominidae	20	0	39423596	-1	Cow	24	chr24
Hominidae	20	60285433	74115921	-1	Goat	24	chr24
Hominidae	20	47327735	53149400	1	Hedgehog	s1733	scaffold00099
Hominidae	20	39959955	53227894	-1	Rat	18	chr18
Hominidae	20	0	1990978	1	Shrew	s1747	scaffold00154
Hominidae	20	43739395	53361506	1	Shrew	s1751	scaffold00092
Hominidae	20	0	36073172	1	Pig	6	chr6
Hominidae	20	5317882	8906523	-1	Horse	8	chr8
Hominidae	20	14228742	14620613	-1	Hedgehog	s1724	scaffold01001
Hominidae	20	11577945	57311173	-1	Guinea pig	s1714	scaffold_14
Hominidae	20	69129680	74115921	-1	Hedgehog	s1737	scaffold00126
Hominidae	20	20127384	26117120	1	Hedgehog	s1727	scaffold00116
Hominidae	20	5656771	5927574	1	Opossum	2	chr2
Hominidae	20	1990978	2654281	-1	Shrew	s1748	scaffold00093
Hominidae	20	2157468	4884503	-1	Horse	8	chr8
Hominidae	20	18800942	24751220	1	Pika	s1745	scaffold00006
Hominidae	20	53361506	67850575	-1	Shrew	s1752	scaffold00004
Hominidae	20	1875643	3198867	-1	Mouse	18	chr18
Hominidae	20	0	74115921	1	Chimpanzee	18	chr18
Hominidae	20	14620613	74115921	1	Human	18	chr18
Hominidae	20	0	30801605	1	Chicken	2	chr2
Hominidae	20	26117120	31216221	1	Hedgehog	s1728	scaffold00135
Hominidae	20	0	14620613	-1	Human	18	chr18
Hominidae	20	0	40169000	-1	Goat	24	chr24
Hominidae	20	67850575	74115921	-1	Shrew	s1753	scaffold00012
Hominidae	20	2088517	2806694	-1	Tenrec	s1718	scaffold00084
Hominidae	20	1627393	2934043	-1	Rat	18	chr18
Hominidae	20	0	14620613	-1	Gorilla	18	chr18
Hominidae	20	53248243	56548998	1	Opossum	3	chr3
Hominidae	20	51544811	69416733	-1	Chicken	2	chr2
Hominidae	20	2806694	69886741	1	Tenrec	s1719	scaffold00014
Hominidae	20	992261	43099978	-1	Dog	7	chr7
Hominidae	20	3732083	13629013	1	Rhesus macaque	18	chr18
Hominidae	20	32525498	39659568	-1	Opossum	3	chr3
Hominidae	20	31216221	34008981	-1	Hedgehog	s1729	scaffold00365
