EUA	16	14785265	1.0
EUA	16	13997270	1.0
EUA	16	13485538	1.0
EUA	16	12623287	1.0
EUA	16	7700260	1.0
EUA	16	6796582	1.0
EUA	16	6012894	1.0
EUA	16	5195742	1.0
EUA	16	4856601	1.0
EUA	16	3398881	1.0
EUA	16	1694959	1.0
EUA	16	31926826	1.0
EUA	16	18833604	1.0
EUA	16	19558190	1.0
EUA	16	23686269	1.0
EUA	16	27112094	1.0
EUA	16	31130914	1.0
EUA	16	33173325	1.0
EUA	16	34532177	1.0
EUA	16	36580838	1.0
EUA	16	37536404	1.0
EUA	16	38455842	1.0
EUA	16	39691209	1.0
EUA	16	46988274	1.0
EUA	16	50463122	1.0
EUA	16	56606995	1.0
EUA	16	57365794	1.0
EUA	16	28957232	1.0
EUA	16	548671	1.0
EUA	16	1205444	1.0
EUA	16	2424793	1.0
EUA	16	3162937	1.0
