Hominini	13	85929783	89462126	1	Hedgehog	s1064	scaffold00313
Hominini	13	66290541	68166644	1	Hedgehog	s1059	scaffold00419
Hominini	13	115135069	117110246	-1	Opossum	1	chr1
Hominini	13	67637899	88273515	-1	Pika	s1085	scaffold00010
Hominini	13	0	40827072	-1	Rabbit	1	chr1
Hominini	13	103875560	117110246	1	Cow	11	chr11
Hominini	13	77500022	85929783	-1	Hedgehog	s1063	scaffold00049
Hominini	13	40827072	41212725	1	Shrew	s1089	scaffold00001
Hominini	13	28748455	40827072	1	Mouse	4	chr4
Hominini	13	61206801	66867086	1	Cow	8	chr8
Hominini	13	82763039	84262980	1	Opossum	6	chr6
Hominini	13	92076951	101668085	-1	Guinea pig	s1021	scaffold_2
Hominini	13	40827072	41212725	-1	Opossum	5	chr5
Hominini	13	40827072	41212725	-1	Orangutan	9	chr9
Hominini	13	23771758	38267044	1	Tenrec	s1025	scaffold00064
Hominini	13	56150478	62617517	-1	Pika	s1083	scaffold00010
Hominini	13	101668085	117110246	-1	Guinea pig	s1022	scaffold_27
Hominini	13	106684828	109372967	1	Hedgehog	s1068	scaffold00401
Hominini	13	41182782	41197846	-1	Gorilla	9	chr9
Hominini	13	64801630	66703068	1	Opossum	6	chr6
Hominini	13	74727073	77500022	-1	Hedgehog	s1062	scaffold00314
Hominini	13	41212725	43915106	1	Chimpanzee	9	chr9
Hominini	13	36715709	40827072	1	Horse	25	chr25
Hominini	13	0	40827072	-1	Rhesus macaque	15	chr15
Hominini	13	79777222	103875560	1	Cow	8	chr8
Hominini	13	0	2868116	1	Opossum	6	chr6
Hominini	13	86422691	87892372	-1	Opossum	1	chr1
Hominini	13	84117282	92076951	1	Guinea pig	s1020	scaffold_93
Hominini	13	71011941	74727073	1	Hedgehog	s1061	scaffold00272
Hominini	13	65205120	71795798	-1	Tenrec	s1030	scaffold00092
Hominini	13	41212725	43915106	-1	Orangutan	9	chr9
Hominini	13	66867086	72413848	-1	Cow	8	chr8
Hominini	13	37286558	40827072	1	Goat	8	chr8
Hominini	13	63149506	66685798	1	Mouse	13	chr13
Hominini	13	87029022	117110246	-1	Rabbit	1	chr1
Hominini	13	29722530	40827072	1	Rat	5	chr5
Hominini	13	41094310	41182782	1	Gorilla	9	chr9
Hominini	13	74436656	77172092	1	Cow	8	chr8
Hominini	13	69463278	72041369	1	Elephant	s1076	scaffold_87
Hominini	13	67167031	70852758	-1	Dog	1	chr1
Hominini	13	0	117110246	1	Human	9	chr9
Hominini	13	41212725	43915106	-1	Guinea pig	s1014	scaffold_42
Hominini	13	43915106	60903380	1	Pig	1	chr1
Hominini	13	79102512	91614806	1	Chicken	17	chr17
Hominini	13	70852758	73939982	-1	Dog	1	chr1
Hominini	13	105783707	117110246	-1	Rhesus macaque	15	chr15
Hominini	13	49399041	65163037	1	Shrew	s1091	scaffold00061
Hominini	13	111752230	114928115	-1	Rat	3	chr3
Hominini	13	43915106	67167031	-1	Dog	1	chr1
Hominini	13	67300400	69326992	-1	Horse	23	chr23
Hominini	13	50946058	59551470	-1	Hedgehog	s1056	scaffold00047
Hominini	13	41197846	42106091	1	Gorilla	9	chr9
Hominini	13	43915106	61206801	1	Cow	8	chr8
