Boreo	4	28696616	30049783	-1	Hedgehog	s741	scaffold00480
Boreo	4	86332908	88076752	-1	Hedgehog	s762	scaffold00930
Boreo	4	131324084	132857551	1	Opossum	1	chr1
Boreo	4	88076752	92972726	-1	Guinea pig	s699	scaffold_99
Boreo	4	25600431	112257162	1	Rhesus	6	chr6
Boreo	4	156744617	159394144	-1	Rat	10	chr10
Boreo	4	42514490	60056194	1	Opossum	3	chr3
Boreo	4	158918929	159394144	1	Guinea pig	s714	scaffold_21
Boreo	4	156468937	156744617	-1	Opossum	1	chr1
Boreo	4	47298154	63089314	1	Dog	2	chr2
Boreo	4	157469024	158037278	1	Marmoset	2	chr2
Boreo	4	88389851	90504922	1	Hedgehog	s763	scaffold00316
Boreo	4	97292462	101446343	-1	Elephant	s795	scaffold_1
Boreo	4	132857551	135619321	1	Mouse	11	chr11
Boreo	4	129067033	130326275	-1	Cow	7	chr7
Boreo	4	58190930	63089314	1	Pika	s803	scaffold00024
Boreo	4	113505164	115546941	1	Chicken	13	chr13
Boreo	4	113505164	117127712	1	Guinea pig	s706	scaffold_81
Boreo	4	132857551	134051739	-1	Shrew	s826	scaffold00048
Boreo	4	103685134	104606006	1	Guinea pig	s704	scaffold_17
Boreo	4	83459604	84961694	-1	Hedgehog	s760	scaffold00448
Boreo	4	0	28765500	1	Opossum	3	chr3
Boreo	4	149453805	154589482	1	Shrew	s829	scaffold00048
Boreo	4	63822355	65039356	1	Guinea pig	s696	scaffold_29
Boreo	4	86332908	90504922	-1	Shrew	s817	scaffold00122
Boreo	4	84367609	101343932	-1	Tenrec	s725	scaffold00025
Boreo	4	127578849	128586272	1	Hedgehog	s777	scaffold00690
Boreo	4	124314252	130326275	1	Chicken	13	chr13
Boreo	4	97219922	99765179	1	Cow	10	chr10
Boreo	4	0	9564242	1	Hedgehog	s730	scaffold00125
Boreo	4	123504789	124314252	1	Chicken	13	chr13
Boreo	4	97219922	99188858	1	Opossum	3	chr3
Boreo	4	155097100	158918929	-1	Pig	2	chr2
Boreo	4	101446343	101667603	1	Elephant	s796	scaffold_1
Boreo	4	97219922	103162347	1	Dog	11	chr11
Boreo	4	144676930	147914822	1	Hedgehog	s787	scaffold00149
Boreo	4	81995548	83459604	1	Hedgehog	s759	scaffold00525
Boreo	4	141264338	155097100	1	Opossum	1	chr1
Boreo	4	93377369	95820457	1	Hedgehog	s766	scaffold00420
Boreo	4	157469024	158918929	-1	capHir1	7	chr7
Boreo	4	132093545	139503922	-1	Chicken	13	chr13
Boreo	4	150891664	154589482	1	Cow	20	chr20
Boreo	4	101404254	101676103	1	Opossum	6	chr6
Boreo	4	63089314	96728482	-1	Dog	3	chr3
Boreo	4	103162347	103685134	-1	Guinea pig	s703	scaffold_17
Boreo	4	9564242	14054716	-1	White rhinoceros	s716	JH767743
Boreo	4	30049783	30699750	-1	Hedgehog	s742	scaffold00853
Boreo	4	130326275	131324084	-1	Opossum	1	chr1
Boreo	4	120216098	130326275	1	Rat	18	chr18
Boreo	4	98792695	157469024	1	Rabbit	3	chr3
Boreo	4	28844960	29712983	1	Chicken	Z	chrZ
Boreo	4	144676930	148474218	1	Cow	7	chr7
Boreo	4	3404472	6783884	1	Guinea pig	s686	scaffold_144
Boreo	4	101343932	157469024	1	Tenrec	s726	scaffold00002
